,Description,Dead,Missing & POW,Total,Wounded & Sick
1,Army,,,,
2,Eastern Front,1105987,1018365,2124352,3498059
3,North: Norway/Finland,16639,5157,21796,60451
4,Southwest: N Africa/Italy,50481,194250,244731,163602
5,Southeast: Balkans,19235,14805,34040,55069
6,West: France/Belgium,107042,409715,516757,399856
7,Training Forces,10467,1337,11804,42174
8,Died of Wounds-All Fronts,295659,,295659,
9,Location not Given,17051,2687,19738,
10,Subtotal (Army),1622561,1646316,3268877,4188037
11,Navy,48904,100256,149160,25259
12,Air Force,138596,156132,294728,216579
13,Total Combat: All Branches,1810061,1902704,3712765,4429875
14,"Other deaths (Disease, accidents, etc.)",191338,,191338,
15,Overall total,2001399,1902704,3904103,4429875
